,name,type,study_title,group_id,study_type,description,has_placebo,has_drug,nums,trailings,trailings_stemmed,doses_obj,no_measure,units
108,Gabapentin,primary,"Clinical Trial of Gabapentin in the Prevention of Nausea Ond Vomiting Induced by Chemotherapy, a Randomized, Double-blind, Placebo Controled Study",OG001,Parallel Assignment,"dexamethasone 10mg + ondansetron 8mg + ranitidine 50mg , iv, before chemotherapy infusion (d1)

dexamethasone 8mg orally 24h (day 2) and 48h (day 3) after chemotherapy

gabapentin 300mg:

five and four days before chemotherapy (day -5 and day -4): 1x daily
three and two days before chemotherapy (day -3 and day -2): 2x daily
one day before to five days after chemotherapy ( day -1 to day 5): 3x daily",False,True,"[10, 8, 50, 1, 8, 24, 2, 48, 3, 300, 5, 4, 1, 3, 2, 2, 1, 5, 3]","[['mg', '+', 'ondansetron'], ['mg', '+', 'ranitidin'], ['mg', ',', 'iv,'], ['0mg', '+', 'ondansetron'], ['mg', '+', 'ranitidin'], ['h', 'day', '2'], ['4h', 'day'], ['h', 'day', '3'], ['', 'after', 'chemotherapi'], ['mg:', 'five', 'and'], ['0mg', ',', 'iv,'], ['h', 'day', '2'], ['0mg', '+', 'ondansetron'], ['', 'after', 'chemotherapi'], ['4h', 'day'], ['4h', 'day'], ['0mg', '+', 'ondansetron'], ['0mg', ',', 'iv,'], ['', 'after', 'chemotherapi']]","[['mg', '+', 'ondansetron'], ['mg', '+', 'ranitidin'], ['mg', ',', 'iv,'], ['0mg', '+', 'ondansetron'], ['mg', '+', 'ranitidin'], ['h', 'day', '2'], ['4h', 'day'], ['h', 'day', '3'], ['', 'after', 'chemotherapi'], ['mg:', 'five', 'and'], ['0mg', ',', 'iv,'], ['h', 'day', '2'], ['0mg', '+', 'ondansetron'], ['', 'after', 'chemotherapi'], ['4h', 'day'], ['4h', 'day'], ['0mg', '+', 'ondansetron'], ['0mg', ',', 'iv,'], ['', 'after', 'chemotherapi']]","{10: ['mg', '+', 'ondansetron'], 8: ['mg', '+', 'ranitidin'], 50: ['mg', ',', 'iv,']}",Unknown,"{10: 'mg', 8: 'mg', 50: 'mg'}"
109,Gabapentin,primary,Investigation and Treatment of Ocular Motor Disorders: Cross-over Comparison of Gabapentin and Memantine as Treatment for Nystagmus,OG000,Crossover Assignment,"increasing dose to 300 mg four times per day (total of 1200 mg/day)

gabapentin: increasing to 1200 mg/day",False,True,"[300, 1200, 1200]","[['mg', 'four', 'time'], ['mg/day', 'gabapentin:', 'increas'], ['mg/day', 'gabapentin:', 'increas']]","[['mg', 'four', 'time'], ['mg/day', 'gabapentin:', 'increas'], ['mg/day', 'gabapentin:', 'increas']]","{300: ['mg', 'four', 'time'], 1200: ['mg/day', 'gabapentin:', 'increas']}",Unknown,"{300: 'mg', 1200: 'mg'}"
110,Memantine,primary,Investigation and Treatment of Ocular Motor Disorders: Cross-over Comparison of Gabapentin and Memantine as Treatment for Nystagmus,OG001,Crossover Assignment,"increasing dose over two weeks to 20 mg twice/day (total of 40 mg/day).

memantine: increasing to 40 mg/day",False,False,"[20, 40, 40]","[['mg', 'twice/day', 'total'], ['mg/day', 'memantine:', 'increas'], ['mg/day', 'memantine:', 'increas']]","[['mg', 'twice/day', 'total'], ['mg/day', 'memantine:', 'increas'], ['mg/day', 'memantine:', 'increas']]","{20: ['mg', 'twice/day', 'total'], 40: ['mg/day', 'memantine:', 'increas']}",Unknown,"{20: 'mg', 40: 'mg'}"
111,Gabapentin,primary,Investigation and Treatment of Ocular Motor Disorders: Cross-over Comparison of Gabapentin and Memantine as Treatment for Nystagmus,OG000,Crossover Assignment,"increasing dose to 300 mg four times per day (total of 1200 mg/day)

gabapentin: increasing to 1200 mg/day",False,True,"[300, 1200, 1200]","[['mg', 'four', 'time'], ['mg/day', 'gabapentin:', 'increas'], ['mg/day', 'gabapentin:', 'increas']]","[['mg', 'four', 'time'], ['mg/day', 'gabapentin:', 'increas'], ['mg/day', 'gabapentin:', 'increas']]","{300: ['mg', 'four', 'time'], 1200: ['mg/day', 'gabapentin:', 'increas']}",Unknown,"{300: 'mg', 1200: 'mg'}"
112,Memantine,primary,Investigation and Treatment of Ocular Motor Disorders: Cross-over Comparison of Gabapentin and Memantine as Treatment for Nystagmus,OG001,Crossover Assignment,"increasing dose over two weeks to 20 mg twice/day (total of 40 mg/day).

memantine: increasing to 40 mg/day",False,False,"[20, 40, 40]","[['mg', 'twice/day', 'total'], ['mg/day', 'memantine:', 'increas'], ['mg/day', 'memantine:', 'increas']]","[['mg', 'twice/day', 'total'], ['mg/day', 'memantine:', 'increas'], ['mg/day', 'memantine:', 'increas']]","{20: ['mg', 'twice/day', 'total'], 40: ['mg/day', 'memantine:', 'increas']}",Unknown,"{20: 'mg', 40: 'mg'}"
113,Arm I (Gabapentin),primary,Randomized Placebo Control Trial of Perioperative Gabapentin to Reduce Total Analgesic Requirements in Patients Undergoing Radical Cystectomy,OG000,Parallel Assignment,"patients receive gabapentin po tid for 48 hours after surgery.

gabapentin: given po

questionnaire administration: ancillary studies",False,True,[48],"[['hour', 'after', 'surgeri']]","[['hour', 'after', 'surgeri']]",{},True,{}
114,Arm II (Placebo),primary,Randomized Placebo Control Trial of Perioperative Gabapentin to Reduce Total Analgesic Requirements in Patients Undergoing Radical Cystectomy,OG001,Parallel Assignment,"patients receive placebo po tid for 48 hours after surgery.

placebo: given po

questionnaire administration: ancillary studies",True,False,[48],"[['hour', 'after', 'surgeri']]","[['hour', 'after', 'surgeri']]",{},Unknown,{}
115,G-ER 1200 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG000,Parallel Assignment,gabapentin extended-release (g-er) 1200 mg,False,False,[1200],[['mg']],[['mg']],{1200: ['mg']},Unknown,{1200: 'mg'}
116,G-ER 1800 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG001,Parallel Assignment,gabapentin extended-release (g-er) 1800 mg,False,False,[1800],[['mg']],[['mg']],{1800: ['mg']},Unknown,{1800: 'mg'}
117,Sugar Pill,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG002,Parallel Assignment,placebo 1200 mg or 1800 mg,False,False,"[1200, 1800]","[['mg', 'or', '1800'], ['mg']]","[['mg', 'or', '1800'], ['mg']]","{1200: ['mg', 'or', '1800'], 1800: ['mg']}",Unknown,"{1200: 'mg', 1800: 'mg'}"
118,G-ER 1200 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG000,Parallel Assignment,gabapentin extended-release (g-er) 1200 mg,False,False,[1200],[['mg']],[['mg']],{1200: ['mg']},Unknown,{1200: 'mg'}
119,G-ER 1800 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG001,Parallel Assignment,gabapentin extended-release (g-er) 1800 mg,False,False,[1800],[['mg']],[['mg']],{1800: ['mg']},Unknown,{1800: 'mg'}
120,Sugar Pill,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG002,Parallel Assignment,placebo 1200 mg or 1800 mg,False,False,"[1200, 1800]","[['mg', 'or', '1800'], ['mg']]","[['mg', 'or', '1800'], ['mg']]","{1200: ['mg', 'or', '1800'], 1800: ['mg']}",Unknown,"{1200: 'mg', 1800: 'mg'}"
121,G-ER 1200 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG000,Parallel Assignment,gabapentin extended-release (g-er) 1200 mg,False,False,[1200],[['mg']],[['mg']],{1200: ['mg']},Unknown,{1200: 'mg'}
122,G-ER 1800 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG001,Parallel Assignment,gabapentin extended-release (g-er) 1800 mg,False,False,[1800],[['mg']],[['mg']],{1800: ['mg']},Unknown,{1800: 'mg'}
123,Sugar Pill,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG002,Parallel Assignment,placebo 1200 mg or 1800 mg,False,False,"[1200, 1800]","[['mg', 'or', '1800'], ['mg']]","[['mg', 'or', '1800'], ['mg']]","{1200: ['mg', 'or', '1800'], 1800: ['mg']}",Unknown,"{1200: 'mg', 1800: 'mg'}"
124,G-ER 1200 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG000,Parallel Assignment,gabapentin extended-release (g-er) 1200 mg,False,False,[1200],[['mg']],[['mg']],{1200: ['mg']},Unknown,{1200: 'mg'}
125,G-ER 1800 mg,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG001,Parallel Assignment,gabapentin extended-release (g-er) 1800 mg,False,False,[1800],[['mg']],[['mg']],{1800: ['mg']},Unknown,{1800: 'mg'}
126,Sugar Pill,primary,"A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Vasomotor Symptoms in Postmenopausal Women",OG002,Parallel Assignment,placebo 1200 mg or 1800 mg,False,False,"[1200, 1800]","[['mg', 'or', '1800'], ['mg']]","[['mg', 'or', '1800'], ['mg']]","{1200: ['mg', 'or', '1800'], 1800: ['mg']}",Unknown,"{1200: 'mg', 1800: 'mg'}"
127,Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with any type of incident cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
128,Matched Controls for Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident all-cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
129,Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with any type of incident cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
130,Matched Controls for Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident all-cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
131,Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with any type of incident cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
132,Matched Controls for Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident all-cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
133,Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with any type of incident cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
134,Matched Controls for Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident all-cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
135,Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with any type of incident cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
136,Matched Controls for Incident All-cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident all-cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
137,Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident stomach cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
138,Matched Controls for Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident stomach cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
139,Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident stomach cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
140,Matched Controls for Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident stomach cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
141,Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident stomach cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
142,Matched Controls for Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident stomach cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
143,Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident stomach cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
144,Matched Controls for Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident stomach cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
145,Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident stomach cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
146,Matched Controls for Incident Stomach Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident stomach cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
147,Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident anal cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
148,Matched Controls for Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident anal cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
149,Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident anal cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
150,Matched Controls for Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident anal cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
151,Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident anal cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
152,Matched Controls for Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident anal cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
153,Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident anal cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
154,Matched Controls for Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident anal cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
155,Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident anal cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
156,Matched Controls for Incident Anal Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident anal cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
157,Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident lung cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
158,Matched Controls for Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident lung cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
159,Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident lung cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
160,Matched Controls for Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident lung cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
161,Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident lung cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
162,Matched Controls for Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident lung cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
163,Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident lung cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
164,Matched Controls for Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident lung cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
165,Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident lung cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
166,Matched Controls for Incident Lung Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident lung cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice",False,False,[],[],[],{},Unknown,{}
167,Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident bone/joint cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
168,Matched Controls for Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident bone/joint cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
169,Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident bone/joint cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
170,Matched Controls for Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident bone/joint cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
171,Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident bone/joint cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
172,Matched Controls for Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident bone/joint cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
173,Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident bone/joint cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
174,Matched Controls for Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident bone/joint cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
175,Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident bone/joint cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
176,Matched Controls for Incident Bone/Joint Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident bone/joint cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
177,Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident breast cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
178,Matched Controls for Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident breast cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
179,Cases,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,cases,False,False,[],[],[],{},Unknown,{}
180,Controls,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,controls,False,False,[],[],[],{},Unknown,{}
181,Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident breast cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
182,Matched Controls for Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident breast cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
183,Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident breast cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
184,Matched Controls for Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident breast cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
185,Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident breast cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
186,Matched Controls for Incident Breast Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident breast cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
187,Incident Penile Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident penile cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
188,Matched Controls for Incident Penile Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident penile cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
189,Incident Penile Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident penile cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
190,Matched Controls for Incident Penile Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG001,NA,"cancer-free control patients risk set matched with incident penile cancer patients for sex, age at cohort entry (within two years), calendar year of cohort entry (within one year), and general practice site",False,False,[],[],[],{},Unknown,{}
191,Incident Penile Cancer Patients,primary,Risk of Cancer in Patients Exposed to Gabapentin in the GPRD,OG000,NA,patients with incident penile cancer defined from read/oxmis codes in the years 1995-2008,False,False,[1995],[['-2008']],[['-2008']],{},Unknown,{}
