,study_id,measure,type,conditions,single_condition,name,description
69,NCT01668667,The Dose-response Relationship of Change From Baseline in IRLS Rating Scale Total Score at End of Treatment,Secondary,['Restless Legs Syndrome'],Restless Legs Syndrome,"A Randomized, Double-Blind, Placebo-Controlled, Fixed-Dose, Parallel-Group Study to Compare the Efficacy, Tolerability, and Safety of 3 Doses of Gabapentin Enacarbil (GSK1838262) With Placebo in the Treatment of Subjects With Moderate-to-Severe Primary Restless Legs Syndrome (RLS)","This is a Phase IV randomized, double-blind, placebo-controlled, fixed-dose, parallel group study to assess the efficacy, tolerability, and safety of 3 doses of GEn (600, 450, and 300 mg/day) compared with placebo in the treatment of subjects with moderate-to-severe primary RLS.

The study will include 9 visits over approximately 14 weeks for eligible subjects including a 1-week Screening Period, a 12-week Treatment Period, and a 1 week Follow up Period. Screening will occur within 1 week of the first scheduled dose of study medication. The total duration of the study, from the first subject enrolled to the last subject completed will be approximately 2 years.

Eligible subjects (at least 18 years of age) must have:

a diagnosis of RLS according to the IRLSSG Diagnostic Criteria
a history of RLS symptoms for at least 15 nights in the prior month or, if on treatment, this frequency of symptoms before treatment was started
documented RLS symptoms for at least 4 of the 7 consecutive evenings/nights during the Screening Period, and a total RLS severity score of at least 15 on the International Restless Legs Syndrome (IRLS) Rating Scale at the screening and baseline visits

Approximately 498 subjects will be enrolled, randomly assigned to treatment groups, and receive study medication once daily for 12 weeks. Subjects will be randomly assigned to receive 1 of the 4 following treatment groups in a ratio of 1:1:1:1:

GEn 600 mg/day
GEn 450 mg/day
GEn 300 mg/day
Matching placebo

Subjects will be instructed to take their study medication once daily with food in the evening at approximately 5 PM. Each tablet must be swallowed whole and not divided, crushed, or chewed.

Each subject, regardless of treatment assignment, will take 3 tablets of study medication (1 tablet from Bottle A, 1 tablet from Bottle B, and 1 tablet from Bottle C) once daily continuing through the end of the Treatment Period (Week 12). Subjects will return to the study site for a follow-up visit (Visit 9, Week 13) approximately 1 week after the last dose of study medication.

Each subject's participation in the study will be approximately 14 weeks unless they withdraw early from the study. For subjects who complete the study, Visit 9 (which can occur between Day 86 and 92) will be considered their end-of-study visit."
70,NCT01668667,The Dose-response Relationship for Investigator-rated CGI-I Scale at End of Treatment,Secondary,['Restless Legs Syndrome'],Restless Legs Syndrome,"A Randomized, Double-Blind, Placebo-Controlled, Fixed-Dose, Parallel-Group Study to Compare the Efficacy, Tolerability, and Safety of 3 Doses of Gabapentin Enacarbil (GSK1838262) With Placebo in the Treatment of Subjects With Moderate-to-Severe Primary Restless Legs Syndrome (RLS)","This is a Phase IV randomized, double-blind, placebo-controlled, fixed-dose, parallel group study to assess the efficacy, tolerability, and safety of 3 doses of GEn (600, 450, and 300 mg/day) compared with placebo in the treatment of subjects with moderate-to-severe primary RLS.

The study will include 9 visits over approximately 14 weeks for eligible subjects including a 1-week Screening Period, a 12-week Treatment Period, and a 1 week Follow up Period. Screening will occur within 1 week of the first scheduled dose of study medication. The total duration of the study, from the first subject enrolled to the last subject completed will be approximately 2 years.

Eligible subjects (at least 18 years of age) must have:

a diagnosis of RLS according to the IRLSSG Diagnostic Criteria
a history of RLS symptoms for at least 15 nights in the prior month or, if on treatment, this frequency of symptoms before treatment was started
documented RLS symptoms for at least 4 of the 7 consecutive evenings/nights during the Screening Period, and a total RLS severity score of at least 15 on the International Restless Legs Syndrome (IRLS) Rating Scale at the screening and baseline visits

Approximately 498 subjects will be enrolled, randomly assigned to treatment groups, and receive study medication once daily for 12 weeks. Subjects will be randomly assigned to receive 1 of the 4 following treatment groups in a ratio of 1:1:1:1:

GEn 600 mg/day
GEn 450 mg/day
GEn 300 mg/day
Matching placebo

Subjects will be instructed to take their study medication once daily with food in the evening at approximately 5 PM. Each tablet must be swallowed whole and not divided, crushed, or chewed.

Each subject, regardless of treatment assignment, will take 3 tablets of study medication (1 tablet from Bottle A, 1 tablet from Bottle B, and 1 tablet from Bottle C) once daily continuing through the end of the Treatment Period (Week 12). Subjects will return to the study site for a follow-up visit (Visit 9, Week 13) approximately 1 week after the last dose of study medication.

Each subject's participation in the study will be approximately 14 weeks unless they withdraw early from the study. For subjects who complete the study, Visit 9 (which can occur between Day 86 and 92) will be considered their end-of-study visit."
71,NCT01632215,Chronic Pain,Secondary,['Carpal Tunnel Syndrome'],Carpal Tunnel Syndrome,Effect of Preoperative Gabapentine for Carpal Tunnel Syndrome,"There was studied 40 patients. Group 1 patients received 600 mg of gabapentin 1 hour before surgery; G2 received placebo 1 hour before surgery.

Anesthesia was regional intravenous block. Postoperative analgesia when needed was with acetaminophen. If needed was administered codeine. The evaluation of neuropathic pain was made by DN4 questionnaire. Pain intensity was assessed by numeric scale at block and after 30min, 1h, 2h, 2wk, 4wk, 6m. It was noted the duration of analgesia, and the amount of acetaminophen and codeine.

The statistical program used for analysis of the results was the Instat Graph"
72,NCT00636636,Mean Change in Baseline Observation Carried Forward (BOCF) Average Daily Pain Score,Primary,"['Neuralgia,Postherpetic']","Neuralgia,Postherpetic","A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Patients With Postherpetic Neuralgia","The primary study objective is to assess the relative efficacy of G-ER dosed once daily (1800 mg following the evening meal), versus placebo in reducing the mean daily pain score from the baseline week to the end of the efficacy treatment period (Treatment Week 10) in patients with PHN.

Secondary efficacy measures will include changes from baseline in mean weekly sleep interference scores, Short-Form McGill Pain Questionnaire (SF-MPQ), the Neuropathic Pain Scale (NPS), Brief Pain Inventory (BPI), Patient Global Impression of Change (PGIC), and Investigator-Rated Clinical Global Impression of Change (CGIC)."
73,NCT00636636,Patient Global Impression of Change (PGIC),Secondary,"['Neuralgia,Postherpetic']","Neuralgia,Postherpetic","A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Patients With Postherpetic Neuralgia","The primary study objective is to assess the relative efficacy of G-ER dosed once daily (1800 mg following the evening meal), versus placebo in reducing the mean daily pain score from the baseline week to the end of the efficacy treatment period (Treatment Week 10) in patients with PHN.

Secondary efficacy measures will include changes from baseline in mean weekly sleep interference scores, Short-Form McGill Pain Questionnaire (SF-MPQ), the Neuropathic Pain Scale (NPS), Brief Pain Inventory (BPI), Patient Global Impression of Change (PGIC), and Investigator-Rated Clinical Global Impression of Change (CGIC)."
74,NCT00636636,Clinical Global Impression of Change (CGIC),Secondary,"['Neuralgia,Postherpetic']","Neuralgia,Postherpetic","A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Patients With Postherpetic Neuralgia","The primary study objective is to assess the relative efficacy of G-ER dosed once daily (1800 mg following the evening meal), versus placebo in reducing the mean daily pain score from the baseline week to the end of the efficacy treatment period (Treatment Week 10) in patients with PHN.

Secondary efficacy measures will include changes from baseline in mean weekly sleep interference scores, Short-Form McGill Pain Questionnaire (SF-MPQ), the Neuropathic Pain Scale (NPS), Brief Pain Inventory (BPI), Patient Global Impression of Change (PGIC), and Investigator-Rated Clinical Global Impression of Change (CGIC)."
75,NCT00636636,Average Daily Sleep Interference Score,Secondary,"['Neuralgia,Postherpetic']","Neuralgia,Postherpetic","A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Patients With Postherpetic Neuralgia","The primary study objective is to assess the relative efficacy of G-ER dosed once daily (1800 mg following the evening meal), versus placebo in reducing the mean daily pain score from the baseline week to the end of the efficacy treatment period (Treatment Week 10) in patients with PHN.

Secondary efficacy measures will include changes from baseline in mean weekly sleep interference scores, Short-Form McGill Pain Questionnaire (SF-MPQ), the Neuropathic Pain Scale (NPS), Brief Pain Inventory (BPI), Patient Global Impression of Change (PGIC), and Investigator-Rated Clinical Global Impression of Change (CGIC)."
76,NCT00636636,Mean Change in Last Observation Carried Forward (LOCF) Average Daily Pain Score,Other Pre-specified,"['Neuralgia,Postherpetic']","Neuralgia,Postherpetic","A Phase 3 Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of Gabapentin Extended Release (G-ER) Tablets in the Treatment of Patients With Postherpetic Neuralgia","The primary study objective is to assess the relative efficacy of G-ER dosed once daily (1800 mg following the evening meal), versus placebo in reducing the mean daily pain score from the baseline week to the end of the efficacy treatment period (Treatment Week 10) in patients with PHN.

Secondary efficacy measures will include changes from baseline in mean weekly sleep interference scores, Short-Form McGill Pain Questionnaire (SF-MPQ), the Neuropathic Pain Scale (NPS), Brief Pain Inventory (BPI), Patient Global Impression of Change (PGIC), and Investigator-Rated Clinical Global Impression of Change (CGIC)."
77,NCT03179345,"Change From Baseline in the ""Standard Deviation of the Lateral Position"" (SDLP) Measured on the Driving Simulator Between Gralise® and Neurontin®",Primary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
78,NCT03179345,"Change From Baseline in the ""Standard Deviation of the Lateral Position"" (SDLP) Measured on the Driving Simulator Between Gralise® and Lyrica®",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
79,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Cognitive Evaluation of Cogstate - Detection Task (DET)",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
80,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Cognitive Evaluation of Cogstate - Groton Maze Learning Test (GMLT).",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
81,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Cognitive Evaluation of Cogstate - Identification Task (IDN).",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
82,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Cognitive Evaluation of Cogstate - International Shopping List Test (ISL)",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
83,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Cognitive Evaluation of Cogstate - One Card Learning (OCLT).",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
84,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Sedation Evaluation - Karolinska Sleepiness Scale (KSS).",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
85,NCT03179345,"Change From Baseline Between, Gralise® and Neurontin®, Gralise® and Lyrica® for Sedation Evaluation - Portland Neurotoxicity Scale (PNS).",Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
86,NCT03179345,Change From Baseline Between Gralise® and Neurontin® in the Driving Simulator - Standard Deviation of Vehicle Speed (SDVS).,Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
87,NCT03179345,Change From Baseline Between Gralise® and Lyrica® in the Driving Simulator - Standard Deviation of Vehicle Speed (SDVS).,Secondary,['Healthy'],Healthy,"A Phase 4, Double-Blind, Placebo-Controlled, Crossover Study Comparing Simulated Driving Performance, Daytime Sedation, and Cognition in Healthy Volunteers Taking Therapeutic Doses of Gralise®, Neurontin®, or Lyrica®",NA
88,NCT00183196,Time to Relapse to Drinking,Primary,['Alcohol Dependence'],Alcohol Dependence,Gabapentin as an Adjunct to Naltrexone for Alcoholism,"Subjects will enter the trial after maintaining 4 days of abstinence. During this period multiple assessments will be collected. After entering the double blind treatment portion of the study, they will be evaluated weekly for the first month, then bi-weekly until week 12 and again at week 16. There will be two follow-up visits at weeks 28 and 40. Urinary riboflavin and pill counts will be utilized to determine compliance with the medication regime.

Comparison(s): Naltrexone (50 mg/day) alone for 16-weeks; naltrexone (50 mg/day) for 16-weeks plus gabapentin (up to 1200 mg/day in divided doses) for the first 6 weeks, or inactive placebos. All subjects will receive up to 20 sessions of individual alcohol counseling."
89,NCT01441401,Number of Participants Who Responded to Treatment With Gabapentin by Baseline Severity of Epileptic Seizure,Secondary,"['Epilepsies, Partial']","Epilepsies, Partial",Special Investigation Of Gabapen For Pediatric (Regulatory Post Marketing Commitment Plan),All the patients whom an investigator prescribes the first gabapentin should be registered consecutively until the number of subjects reaches target number in order to extract patients enrolled into the investigation at random.
90,NCT01441401,Number of Participants Who Responded to Treatment With Gabapentin by Baseline Frequency of Epileptic Seizure,Secondary,"['Epilepsies, Partial']","Epilepsies, Partial",Special Investigation Of Gabapen For Pediatric (Regulatory Post Marketing Commitment Plan),All the patients whom an investigator prescribes the first gabapentin should be registered consecutively until the number of subjects reaches target number in order to extract patients enrolled into the investigation at random.
91,NCT01441401,Number of Participants Who Responded to Treatment With Gabapentin by Number of Concomitant Antiepileptic Drugs at Baseline,Secondary,"['Epilepsies, Partial']","Epilepsies, Partial",Special Investigation Of Gabapen For Pediatric (Regulatory Post Marketing Commitment Plan),All the patients whom an investigator prescribes the first gabapentin should be registered consecutively until the number of subjects reaches target number in order to extract patients enrolled into the investigation at random.
92,NCT01441401,Number of Participants Who Responded to Treatment With Gabapentin by Treatment Period,Secondary,"['Epilepsies, Partial']","Epilepsies, Partial",Special Investigation Of Gabapen For Pediatric (Regulatory Post Marketing Commitment Plan),All the patients whom an investigator prescribes the first gabapentin should be registered consecutively until the number of subjects reaches target number in order to extract patients enrolled into the investigation at random.
93,NCT01119222,Average Pain (0-120 Seconds): Cold Pain Test Visual Analog Scale (VAS),Primary,['Healthy'],Healthy,"A Randomised, Double-Blind, Double-Dummy, Placebo And Active Controlled, 4-Way Crossover Methodology Study To Assess The Effect Of Gabapentin, Diphenhydramine And Morphine On Cold Pain In Healthy Male Volunteers",Cold pain methodology development
94,NCT01119222,Interpolated Average Pain (0-8 Hours),Primary,['Healthy'],Healthy,"A Randomised, Double-Blind, Double-Dummy, Placebo And Active Controlled, 4-Way Crossover Methodology Study To Assess The Effect Of Gabapentin, Diphenhydramine And Morphine On Cold Pain In Healthy Male Volunteers",Cold pain methodology development
95,NCT00385671,"Mean Change From Baseline to 12 Weeks in Weekly Mean of Daily 24 Hour Average Pain Score, Pregabalin Compared With Duloxetine",Primary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
96,NCT00385671,"Mean Change From Baseline to 12 Weeks in Weekly Mean of Daily 24 Hour Average Pain Score, Duloxetine Compared With Duloxetine+Gabapentin",Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
97,NCT00385671,Mean Change From Baseline to 12 Weeks in Weekly Mean of Nighttime Pain Severity,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
98,NCT00385671,Mean Change From Baseline to 12 Weeks in Weekly Mean of the Daily Worst Pain Severity Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
99,NCT00385671,Mean Change From Baseline to 12 Weeks in Clinical Global Impression of Severity Scale (CGI Severity),Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
100,NCT00385671,Patient's Global Impression of Improvement Scale (PGI - Improvement) at 12 Weeks,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
101,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Severity: 24-hour Average Pain,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
102,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Severity: Worst Pain,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
103,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Severity: Least Pain,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
104,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Severity: Pain Right Now,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
105,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference: With General Activity,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
106,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Mood,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
107,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Walking Ability,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
108,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Normal Work,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
109,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Relations With Other People,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
110,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Sleep,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
111,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Interference With Enjoyment of Life,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
112,NCT00385671,Mean Change From Baseline to 12 Weeks in Brief Pain Inventory (BPI) - Mean Interference Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
113,NCT00385671,Number of Participants With ≥ 30% Reduction in the Weekly Mean 24 Hour Average Pain Score at 12 Weeks,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
114,NCT00385671,Number of Patients With a Reduction of ≥ 50% in Weekly Mean of 24 Hour Average Pain Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
115,NCT00385671,Number of Participants With a ≥ 2-points Reduction on the Weekly Average of the Daily 24-hour Average Pain Scale at 12 Weeks,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
116,NCT00385671,"Mean Change From Baseline to 12 Weeks in Leeds Sleep Evaluation Questionnaire (LSEQ) Subscales of Ease of Going to Sleep (GTS), Awakening (AFS), and Behavior Following Wakefulness (BFW), Quality of Sleep (QOS)",Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
117,NCT00385671,Mean Change From Baseline to 12 Weeks in Sheehan Disability Scale (SDS) - Total Score and Scores for Items 1 to 3,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
118,NCT00385671,Mean Change From Baseline to 12 Weeks in Sexual Functioning Questionnaire (CSFQ) Total Score and Subscale Scores,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
119,NCT00385671,Categorical Change From Baseline to 12 Weeks in Sexual Functioning Questionnaire (CSFQ) Total Score and Subscale Scores,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
120,NCT00385671,Mean Change From Baseline to 12 Weeks in Portland Neurotoxicity Scale - Total Score and Subscale Scores,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
121,NCT00385671,Categorial Change From Baseline to 12 Weeks in Portland Neurotoxicity Scale - Total Score and Subscale Scores,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
122,NCT00385671,Path Analysis of Improvement in Pain Through Improvement in Depressive Symptoms,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
123,NCT00385671,Mean Change From Baseline to 12 Weeks in Beck Depression Inventory II (BDI-II) Total Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
124,NCT00385671,Time to First ≥ 30% Reduction in Weekly Mean 24 Hour Average Pain Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
125,NCT00385671,Time to First ≥ 2 Points Reduction in Weekly Mean 24 Hour Average Pain Score,Secondary,"['Diabetic Neuropathy, Painful']","Diabetic Neuropathy, Painful","An Open-Label, Randomized Comparison of Duloxetine, Pregabalin, and the Combination of Duloxetine and Gabapentin Among Patients With Inadequate Response to Gabapentin for the Management of Diabetic Peripheral Neuropathic Pain",NA
